Target,Method,evalt,R2 (mean ± std),RMSE (mean ± std),Novelty Error (mean ± std),Discovery Yield (mean ± std)
target_CHEMBL240,MLP,cv,0.58 ± 0.10,0.66 ± 0.06,1.28 ± 0.34,0.70 ± 0.11
target_CHEMBL240,MLP,scaffold_CV,0.08 ± 0.58,0.81 ± 0.21,1.07 ± 0.59,0.57 ± 0.07
target_CHEMBL240,MLP,sorted_fcv,0.07 ± 0.65,0.85 ± 0.25,0.99 ± 0.37,0.61 ± 0.11
target_CHEMBL240,MLP,unsorted_fcv,0.26 ± 0.47,0.79 ± 0.16,0.80 ± 0.31,0.64 ± 0.10
target_CHEMBL240,RF,cv,0.70 ± 0.07,0.55 ± 0.07,0.74 ± 0.51,0.74 ± 0.06
target_CHEMBL240,RF,scaffold_CV,0.41 ± 0.31,0.69 ± 0.35,0.82 ± 0.80,0.59 ± 0.14
target_CHEMBL240,RF,sorted_fcv,0.32 ± 0.46,0.73 ± 0.20,0.87 ± 0.27,0.47 ± 0.12
target_CHEMBL240,RF,unsorted_fcv,0.52 ± 0.18,0.66 ± 0.09,0.65 ± 0.20,0.62 ± 0.11
target_CHEMBL240,xgboost,cv,0.70 ± 0.09,0.55 ± 0.07,0.72 ± 0.49,0.71 ± 0.10
target_CHEMBL240,xgboost,scaffold_CV,0.38 ± 0.27,0.71 ± 0.33,0.80 ± 0.82,0.58 ± 0.10
target_CHEMBL240,xgboost,sorted_fcv,0.35 ± 0.43,0.71 ± 0.18,0.84 ± 0.32,0.45 ± 0.14
target_CHEMBL240,xgboost,unsorted_fcv,0.51 ± 0.22,0.66 ± 0.09,0.60 ± 0.25,0.63 ± 0.11
target_CHEMBL260,MLP,cv,0.66 ± 0.07,0.67 ± 0.05,0.67 ± 0.66,0.65 ± 0.05
target_CHEMBL260,MLP,scaffold_CV,0.39 ± 0.41,0.83 ± 0.12,1.04 ± 0.45,0.54 ± 0.07
target_CHEMBL260,MLP,sorted_fcv,0.39 ± 0.21,0.88 ± 0.17,1.05 ± 0.40,0.47 ± 0.07
target_CHEMBL260,MLP,unsorted_fcv,0.56 ± 0.18,0.76 ± 0.14,0.91 ± 0.55,0.59 ± 0.11
target_CHEMBL260,RF,cv,0.76 ± 0.04,0.57 ± 0.05,0.76 ± 0.39,0.74 ± 0.04
target_CHEMBL260,RF,scaffold_CV,0.62 ± 0.18,0.67 ± 0.08,0.88 ± 0.22,0.66 ± 0.08
target_CHEMBL260,RF,sorted_fcv,0.54 ± 0.09,0.77 ± 0.11,0.93 ± 0.17,0.63 ± 0.05
target_CHEMBL260,RF,unsorted_fcv,0.67 ± 0.09,0.67 ± 0.10,0.93 ± 0.37,0.69 ± 0.06
target_CHEMBL260,xgboost,cv,0.74 ± 0.05,0.59 ± 0.06,0.79 ± 0.50,0.73 ± 0.04
target_CHEMBL260,xgboost,scaffold_CV,0.53 ± 0.26,0.73 ± 0.10,0.95 ± 0.13,0.60 ± 0.08
target_CHEMBL260,xgboost,sorted_fcv,0.48 ± 0.12,0.81 ± 0.12,0.98 ± 0.19,0.61 ± 0.06
target_CHEMBL260,xgboost,unsorted_fcv,0.64 ± 0.09,0.70 ± 0.09,1.03 ± 0.34,0.67 ± 0.08
target_CHEMBL279,MLP,cv,0.53 ± 0.06,0.74 ± 0.06,1.04 ± 0.59,0.59 ± 0.03
target_CHEMBL279,MLP,scaffold_CV,0.27 ± 0.21,0.89 ± 0.11,0.87 ± 0.34,0.44 ± 0.08
target_CHEMBL279,MLP,sorted_fcv,0.04 ± 0.35,1.02 ± 0.13,1.33 ± 0.17,0.39 ± 0.06
target_CHEMBL279,MLP,unsorted_fcv,0.43 ± 0.16,0.81 ± 0.10,0.99 ± 0.37,0.48 ± 0.09
target_CHEMBL279,RF,cv,0.66 ± 0.04,0.63 ± 0.05,0.91 ± 0.35,0.67 ± 0.05
target_CHEMBL279,RF,scaffold_CV,0.46 ± 0.19,0.77 ± 0.08,0.71 ± 0.23,0.50 ± 0.10
target_CHEMBL279,RF,sorted_fcv,0.43 ± 0.13,0.80 ± 0.07,0.84 ± 0.18,0.55 ± 0.06
target_CHEMBL279,RF,unsorted_fcv,0.58 ± 0.08,0.70 ± 0.06,0.86 ± 0.28,0.57 ± 0.07
target_CHEMBL279,xgboost,cv,0.62 ± 0.03,0.67 ± 0.04,0.95 ± 0.28,0.59 ± 0.07
target_CHEMBL279,xgboost,scaffold_CV,0.41 ± 0.26,0.79 ± 0.10,0.71 ± 0.21,0.47 ± 0.11
target_CHEMBL279,xgboost,sorted_fcv,0.41 ± 0.12,0.82 ± 0.07,0.88 ± 0.17,0.55 ± 0.06
target_CHEMBL279,xgboost,unsorted_fcv,0.54 ± 0.07,0.74 ± 0.04,0.86 ± 0.19,0.55 ± 0.05
